#,catalog,Name,Price
43580,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M/B) blue","9,1"
9186,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M)","9,1"
15462,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M/BK) черн.","9,1"
80582,КОМПЬЮТЕРНАЯ ТЕХНИКА,Переходник audio CCA-458/0.2  (3.5mm male <-> 2*RCA male)  0.2m,"9,6"
19864,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель S-Video plug/S-Video plug, 1.8м (CCV-514)","9,7"
6136,КОМПЬЮТЕРНАЯ ТЕХНИКА,Роз.коробка настен.2п              3003A,"9,7"
59132,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания (CR2025) 3V Gembird Lithium battery (EG-BA-CR2025-01) 2шт/уп.,"10,1"
59134,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания (LR1130) 1.5V Gembird Super Alkaline (EG-BA-LR1130-01) 4шт/уп.,"10,1"
59130,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания (CR1620) 3V Gembird Lithium battery (EG-BA-CR1620-01) 2шт/уп.,"10,1"
59133,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания (CR2032) 3V Gembird Lithium battery (EG-BA-CR2032-01) 2ШТ/УП.,"10,1"
15478,КОМПЬЮТЕРНАЯ ТЕХНИКА,RJ-45 розетка внутренняя настенного монтажа GMB 8P8C (TA-630C),"10,6"
43586,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M/B) blue","10,9"
43590,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M/V) violet","10,9"
27586,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M) grey","10,9"
25317,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M/BK) black","10,9"
15463,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,1м. (PP12-1M/G) green","10,9"
40936,КОМПЬЮТЕРНАЯ ТЕХНИКА,Соединитель оптический SC-SC 1шт.,"11,1"
